method,EpSafe,WorstSeed,Surv,Crash,WinUtil,Downlink,Delivered,Proc/DL,Expired,HiDel,Interv,RT(ms)
sparse_comm:Raw RL,1.000,1.000,1.000,0,0.019,132,248,n/a,0.118,0.120,0.321,6.78
sparse_comm:RL + SAFE_BUDGET,1.000,1.000,1.000,0,0.542,2870,2333,3.02,0.500,0.393,0.221,7.65
sparse_comm:RL + SAFE_BUDGET + credit gate,1.000,1.000,1.000,0,0.354,1925,1434,2.85,0.525,0.468,0.365,6.84
energy_constrained:Raw RL,0.900,0.000,0.900,2,0.061,1398,1739,3.47,0.559,0.223,0.204,6.99
energy_constrained:RL + SAFE_BUDGET,0.950,0.000,1.000,0,0.256,4611,3082,3.01,0.363,0.536,0.362,8.45
energy_constrained:RL + SAFE_BUDGET + credit gate,1.000,1.000,1.000,0,0.219,3933,2106,2.29,0.397,0.545,0.476,11.02
high_density:Raw RL,0.550,0.000,1.000,0,0.100,2148,1361,5.07,0.623,0.173,0.173,11.05
high_density:RL + SAFE_BUDGET,0.500,0.000,1.000,0,0.511,8295,7729,3.69,0.303,0.478,0.475,15.27
high_density:RL + SAFE_BUDGET + credit gate,1.000,1.000,1.000,0,0.234,3592,2320,2.71,0.554,0.270,0.546,11.33
sparse_high_value:Raw RL,0.900,0.000,1.000,0,0.106,2374,2536,2.19,0.215,0.569,0.121,11.03
sparse_high_value:RL + SAFE_BUDGET,0.850,0.000,1.000,0,0.408,6935,3272,2.66,0.210,0.805,0.351,13.62
sparse_high_value:RL + SAFE_BUDGET + credit gate,1.000,1.000,1.000,0,0.348,5747,1816,2.16,0.251,0.667,0.454,12.47
